Subject,Run,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
X02299,2,"(1, 4)",-0.06395358183285069,-0.06395358183285069,0.0,0.028920199954882264,0.028920199954882264,0.0
X02299,2,"(2, 1)",-0.1369081184113828,-0.1369081184113828,0.00799278113160326,-0.07298380008433014,-0.07298380008433014,0.004013300058431923
X02299,2,"(2, 2)",-0.05860138322561435,-0.08192224801631884,0.049689351534103185,0.012501700005183617,-0.0015251500299200416,0.04947180903124523
X02299,2,"(2, 3)",0.036341405827543555,0.022911699057714452,0.07993313735996838,0.11226830002851784,0.10041150019969791,0.09938169491095686
X02299,2,"(2, 4)",-0.030295958138498003,-0.02739600521199531,0.02731573269636621,0.05010255007073283,0.05010255007073283,0.0031200500670820475
X02299,2,"(3, 2)",0.025640697912428973,-0.049451483479128255,0.34879481026124004,-0.00472280018342038,-0.011228900169953704,0.033515304865463794
X02299,2,"(3, 3)",0.17231162303122993,-0.015720863737244906,0.3795396471996088,-0.03973913745721802,-0.04312779998872429,0.04985554301853774
X02299,2,"(3, 4)",-0.07676699861667019,-0.08657384432451727,0.12080175145149917,0.06415131418699664,0.059744399739429355,0.054068587669557876
X02299,2,"(4, 1)",-0.20806562948084076,-0.22835820208578184,0.07811703544383902,-0.09241639997344464,-0.09241639997344464,0.013463799958117306
X02299,2,"(4, 2)",-0.21774655755394173,-0.17942252241023154,0.14823503525385998,-0.15306144987698644,-0.09205144993029535,0.12987024396905797
X02299,2,"(4, 3)",-0.12342702930553011,-0.15717067272935276,0.16553300689187853,-0.04092873334108541,-0.04497229994740337,0.03738803371624413
X02299,2,"(4, 4)",-0.09593543331494656,-0.10592558485003785,0.07286361140318641,0.007855525007471442,0.011478900094516575,0.05210522746682911
X48739,1,"(1, 1)",-0.06278311263360337,-0.06278311263360337,0.0,0.00661219994071871,0.00661219994071871,0.0
X48739,1,"(1, 2)",-0.02181154962051468,-0.02181154962051468,0.0,0.05712589994072914,0.05712589994072914,0.0
X48739,1,"(1, 3)",0.014669341934177987,0.010693679836977082,0.12967094394022338,0.03778339995187707,0.05313815001863986,0.07286612337022945
X48739,1,"(1, 4)",0.019285224317585597,-0.004006611725482556,0.04817915603745773,0.07329778332496062,0.04945054999552667,0.04460933487698503
X48739,1,"(2, 1)",-0.02331233642172973,-0.08829938645660235,0.14667345274844037,-0.03650807499070652,-0.01953039999352768,0.07564500441993285
X48739,1,"(2, 2)",-0.058862955242312186,-0.03598454068722559,0.10411066924234776,-0.018437737511703745,-0.03343730000779033,0.0905281879343585
X48739,1,"(2, 3)",0.05815475961917456,0.014769790277095463,0.16672551941221414,0.11069075000705197,0.07243850000668317,0.17931131120732136
X48739,1,"(2, 4)",-0.04567947493742541,-0.013862855791845652,0.10644607681805505,0.017312472239912797,0.04096675000619143,0.12472454464541918
X48739,1,"(3, 1)",-0.10096623776524803,-0.10096623776524803,0.01739941428442192,-0.0755175999365747,-0.0755175999365747,0.042527299956418574
X48739,1,"(3, 2)",-0.183028199444907,-0.12356117399461652,0.1414607059974652,-0.0569867166535308,-0.0685150499921292,0.09700323857417996
X48739,1,"(3, 3)",0.008947611295366599,-0.031072750586085607,0.10025983229700702,0.04258524282236716,0.023093299940228462,0.0472249946033343
X48739,1,"(3, 4)",-0.18709551560561175,-0.16450277246085143,0.13569515199536875,-0.04059706428753478,-0.02804969996213913,0.07879911191380648
X48739,1,"(4, 1)",-0.07261842761375988,-0.09374658652601925,0.07803648246180585,-0.03216090004813547,-0.04703405004693195,0.05926128811132558
X48739,1,"(4, 2)",-0.16635754310393727,-0.15684307532596553,0.1459631498576793,-0.06023934544910761,-0.031172849936410785,0.11179450427555201
X48739,1,"(4, 3)",0.05633509116438738,-0.0019243842229057784,0.193561058581495,0.059773700009100136,0.035962100024335086,0.11533342579807042
X48739,1,"(4, 4)",-0.055284218730809055,-0.0776790110625315,0.14611095266551105,0.012360242860657828,0.019044100015889853,0.0756403552315973
X48739,2,"(1, 1)",0.05658580438942996,0.09358409005809698,0.13315980915584927,0.03155168182936243,0.04405730008147657,0.07209764159599835
X48739,2,"(1, 2)",-0.07008591580857895,-0.08400276885791447,0.08609445549569948,-0.06457658000290394,-0.06595149997156113,0.05884435048549509
X48739,2,"(1, 3)",-0.031679577761655774,-0.06460733331843627,0.11672723039936804,-0.00653768571958478,-0.021013799938373268,0.06781816253050103
X48739,2,"(1, 4)",0.060318526750011,0.035098354584975316,0.13024030739306272,0.030484449991490692,0.03303090005647391,0.07332939502424748
X48739,2,"(2, 1)",-0.060130084327628584,-0.0719470188303629,0.14156891041985203,-0.024679089954588562,-0.0018379000248387456,0.10083974574139178
X48739,2,"(2, 2)",-0.038615932850759385,-0.040673950656743674,0.08865620101858773,0.031216966635030177,0.03501510003115982,0.08013902740116963
X48739,2,"(2, 3)",0.08019539461957563,0.02414383848909528,0.136850491940955,0.14406904999244338,0.10749304998898879,0.10124237738330609
X48739,2,"(2, 4)",-0.08011809041078893,-0.08667780848522616,0.07200629999315324,-0.01829655999317765,-0.020064099808223546,0.07382505389672349
X48739,2,"(3, 1)",-0.14884736384383238,-0.18658766775881827,0.080822770675112,-0.08809985000698362,-0.08788200002163649,0.0756067600617845
X48739,2,"(3, 2)",-0.10856023919184737,-0.08952149045114452,0.05656107957675979,-0.017564837500685826,-0.027544849959667772,0.12110634150362423
X48739,2,"(3, 3)",-0.06550932953115801,-0.0533540909773246,0.07454125437868933,0.02584771815137091,0.03598109993617982,0.043966575380195334
X48739,2,"(3, 4)",-0.12679322865865764,-0.10056027655724897,0.10138550953090987,-0.05978867497954828,-0.03610989992739633,0.0889461062897772
X48739,2,"(4, 1)",-0.10658228803583913,-0.08372100166479185,0.10179597324716011,-0.014457675031735562,0.013465450028888881,0.07659881833451913
X48739,2,"(4, 2)",-0.05123836550232626,-0.08007473129472542,0.11817715230838126,-0.029165789466596356,-0.02102150011342019,0.10040379497021842
X48739,2,"(4, 3)",-0.023959066409151516,-0.03611474229638263,0.1193491777682005,0.059450578584801406,0.01030545006506145,0.13014727211704227
X48739,2,"(4, 4)",-0.026329093281241393,-0.03731194177689637,0.12753340653700573,0.01562625832351235,0.008535200031474233,0.11098007460884103
X13844,1,"(1, 1)",-0.043982635713064315,-0.1672822652893626,0.35739431239118186,0.15598607994616032,0.00910340016707778,0.30156113741595003
X13844,1,"(1, 2)",-0.12367301385367148,-0.12823379129145215,0.13067324625661142,0.04877893326597081,0.0979192997328937,0.19921799056678383
X13844,1,"(1, 3)",0.012455497059410353,-0.005179032888859791,0.13212726504851133,0.14452302996069194,0.11054084997158498,0.1265369383147516
X13844,1,"(1, 4)",-0.114410016774982,-0.06991236863360817,0.3673091262945248,0.05239804612042812,0.07016039988957345,0.4824058212779434
X13844,1,"(2, 1)",-0.21271733819273458,-0.0901825422438996,0.24343686310866366,-0.03492480998393148,0.024968900019302964,0.24676100154688407
X13844,1,"(2, 2)",-0.2623983486822598,-0.21128417782984266,0.23186121724899683,-0.00930180991999805,-0.07948580000083894,0.2888465511556374
X13844,1,"(2, 3)",-0.12489222166606216,-0.10273992179796987,0.10467345572294441,0.15768464450310501,0.13104570005089045,0.12478956185494398
X13844,1,"(2, 4)",-0.09776068983828093,-0.07796018361463178,0.07707790145551835,0.08227565002744086,0.07612515008077025,0.05844160404787204
X13844,1,"(3, 1)",-0.26119109216573255,-0.2673663057159229,0.1702722606364127,-0.16124029993079603,-0.3004466498969123,0.2989611719269343
X13844,1,"(3, 2)",-0.2794482059333814,-0.23602181867864988,0.20946205697768563,-0.12388557135792715,0.02098440029658377,0.2910571741036144
X13844,1,"(3, 3)",-0.15893093493003888,-0.1374435195783279,0.10776086733663107,-0.00919845452616838,0.015006700064986944,0.1163483570470782
X13844,1,"(3, 4)",-0.15457847620319445,-0.1501891912304844,0.1990165148623601,0.02370784612587438,0.008970800088718534,0.11296091535515257
X13844,1,"(4, 1)",-0.28079337997912285,-0.344199256412287,0.2950187328579036,-0.08657516840551245,-0.0628913997206837,0.2600310353639831
